"cowcode","stateabb","statename","ethnicity_relevant","year_from","year_to","group_name","size","status","warid","warid2","groupid","cowgroupid","markertype","serialid"
"2","USA","United States of America","Yes","1946","1965","Whites","0.691","MONOPOLY",,,"1000","201000","Ethno-Racial","1"
"2","USA","United States of America","Yes","1946","1965","Latinos","0.125","IRRELEVANT",,,"2000","202000","Ethno-Cultural","2"
"2","USA","United States of America","Yes","1946","1965","African Americans","0.121","DISCRIMINATED",,,"3000","203000","Ethno-Racial","3"
"2","USA","United States of America","Yes","1946","1965","Asian Americans","0.036","IRRELEVANT",,,"4000","204000","Ethno-Racial","4"
"2","USA","United States of America","Yes","1946","1965","American Indians","0.0078","IRRELEVANT",,,"5000","205000","Ethno-Racial","5"
"2","USA","United States of America","Yes","1946","1965","Arab Americans","0.0042","IRRELEVANT",,,"6000","206000","Mixed Category","6"
"2","USA","United States of America","Yes","1966","2008","Whites","0.691","DOMINANT",,,"1000","201000","Ethno-Racial","7"
"2","USA","United States of America","Yes","1966","2008","Latinos","0.125","POWERLESS",,,"2000","202000","Ethno-Cultural","8"
"2","USA","United States of America","Yes","1966","2008","African Americans","0.124","POWERLESS",,,"3000","203000","Ethno-Racial","9"
"2","USA","United States of America","Yes","1966","2008","Asian Americans","0.036","POWERLESS",,,"4000","204000","Ethno-Racial","10"
"2","USA","United States of America","Yes","1966","2008","American Indians","0.0078","POWERLESS",,,"5000","205000","Ethno-Racial","11"
"2","USA","United States of America","Yes","1966","2008","Arab Americans","0.0042","POWERLESS",,,"6000","206000","Mixed Category","12"
"2","USA","United States of America","Yes","2009","2010","Whites","0.691","SENIOR PARTNER",,,"1000","201000","Ethno-Racial","13"
"2","USA","United States of America","Yes","2009","2010","Latinos","0.125","POWERLESS",,,"2000","202000","Ethno-Cultural","14"
"2","USA","United States of America","Yes","2009","2010","African Americans","0.124","JUNIOR PARTNER",,,"3000","203000","Ethno-Racial","15"
"2","USA","United States of America","Yes","2009","2010","Asian Americans","0.036","POWERLESS",,,"4000","204000","Ethno-Racial","16"
"2","USA","United States of America","Yes","2009","2010","American Indians","0.0078","POWERLESS",,,"5000","205000","Ethno-Racial","17"
"2","USA","United States of America","Yes","2009","2010","Arab Americans","0.0042","POWERLESS",,,"6000","206000","Mixed Category","18"
"20","CAN","Canada","Yes","1946","1981","English speakers","0.59","SENIOR PARTNER",,,"1000","2001000","Ethno-Linguistic","19"
"20","CAN","Canada","Yes","1946","1981","French speakers","0.28","JUNIOR PARTNER",,,"2000","2002000","Ethno-Linguistic","20"
