City,Edition,Sport,Discipline,Athlete,Gender,Event,Medal
Athens,1896,Aquatics,Swimming,"HAJOS, Alfred",Men,100m freestyle,Gold
Athens,1896,Aquatics,Swimming,"HERSCHMANN, Otto",Men,100m freestyle,Silver
Athens,1896,Aquatics,Swimming,"DRIVAS, Dimitrios",Men,100m freestyle for sailors,Bronze
Athens,1896,Aquatics,Swimming,"MALOKINIS, Ioannis",Men,100m freestyle for sailors,Gold
Athens,1896,Aquatics,Swimming,"CHASAPIS, Spiridon",Men,100m freestyle for sailors,Silver
Athens,1896,Aquatics,Swimming,"CHOROPHAS, Efstathios",Men,1200m freestyle,Bronze
Athens,1896,Aquatics,Swimming,"HAJOS, Alfred",Men,1200m freestyle,Gold
Athens,1896,Aquatics,Swimming,"ANDREOU, Joannis",Men,1200m freestyle,Silver
Athens,1896,Aquatics,Swimming,"CHOROPHAS, Efstathios",Men,400m freestyle,Bronze
Athens,1896,Aquatics,Swimming,"NEUMANN, Paul",Men,400m freestyle,Gold
Athens,1896,Aquatics,Swimming,"PEPANOS, Antonios",Men,400m freestyle,Silver
Athens,1896,Athletics,Athletics,"LANE, Francis",Men,100m,Bronze
Athens,1896,Athletics,Athletics,"SZOKOLYI, Alajos",Men,100m,Bronze
Athens,1896,Athletics,Athletics,"BURKE, Thomas",Men,100m,Gold
Athens,1896,Athletics,Athletics,"HOFMANN, Fritz",Men,100m,Silver
Athens,1896,Athletics,Athletics,"CURTIS, Thomas",Men,110m hurdles,Gold
Athens,1896,Athletics,Athletics,"GOULDING, Grantley",Men,110m hurdles,Silver
Athens,1896,Athletics,Athletics,"LERMUSIAUX, Albin",Men,1500m,Bronze
Athens,1896,Athletics,Athletics,"FLACK, Edwin",Men,1500m,Gold
Athens,1896,Athletics,Athletics,"BLAKE, Arthur",Men,1500m,Silver
Athens,1896,Athletics,Athletics,"GMELIN, Charles",Men,400m,Bronze
Athens,1896,Athletics,Athletics,"BURKE, Thomas",Men,400m,Gold
Athens,1896,Athletics,Athletics,"JAMISON, Herbert",Men,400m,Silver
Athens,1896,Athletics,Athletics,"GOLEMIS, Dimitrios",Men,800m,Bronze
Athens,1896,Athletics,Athletics,"FLACK, Edwin",Men,800m,Gold
Athens,1896,Athletics,Athletics,"DANI, Nandor",Men,800m,Silver
Athens,1896,Athletics,Athletics,"VERSIS, Sotirios",Men,discus throw,Bronze
Athens,1896,Athletics,Athletics,"GARRETT, Robert",Men,discus throw,Gold
Athens,1896,Athletics,Athletics,"PARASKEVOPOULOS, Panagiotis",Men,discus throw,Silver
Athens,1896,Athletics,Athletics,"CLARK, Ellery",Men,high jump,Gold
Athens,1896,Athletics,Athletics,"CONNOLLY, James",Men,high jump,Silver
Athens,1896,Athletics,Athletics,"GARRETT, Robert",Men,high jump,Silver
Athens,1896,Athletics,Athletics,"CONNOLLY, James",Men,long jump,Bronze
Athens,1896,Athletics,Athletics,"CLARK, Ellery",Men,long jump,Gold
Athens,1896,Athletics,Athletics,"GARRETT, Robert",Men,long jump,Silver
Athens,1896,Athletics,Athletics,"KELLNER, Gyula",Men,marathon,Bronze
Athens,1896,Athletics,Athletics,"LOUIS, Spyridon",Men,marathon,Gold
Athens,1896,Athletics,Athletics,"VASILAKOS, Kharilaos",Men,marathon,Silver
Athens,1896,Athletics,Athletics,"DAMASKOS, Evangelos",Men,pole vault,Bronze
Athens,1896,Athletics,Athletics,"THEODOROPOULOS, Ioannis",Men,pole vault,Bronze
Athens,1896,Athletics,Athletics,"HOYT, William Welles",Men,pole vault,Gold
Athens,1896,Athletics,Athletics,"TYLER, Albert",Men,pole vault,Silver
Athens,1896,Athletics,Athletics,"PAPASIDERIS, Georgios",Men,shot put,Bronze
Athens,1896,Athletics,Athletics,"GARRETT, Robert",Men,shot put,Gold
Athens,1896,Athletics,Athletics,"GOUSKOS, Miltiadis",Men,shot put,Silver
Athens,1896,Athletics,Athletics,"PERSAKIS, Ioannis",Men,triple jump,Bronze
Athens,1896,Athletics,Athletics,"CONNOLLY, James",Men,triple jump,Gold
Athens,1896,Athletics,Athletics,"TUFFERI, Alexandre",Men,triple jump,Silver
Athens,1896,Cycling,Cycling Road,"BATTEL, Edward",Men,individual road race,Bronze
Athens,1896,Cycling,Cycling Road,"KONSTANTINIDIS, Aristidis",Men,individual road race,Gold
Athens,1896,Cycling,Cycling Road,"GOEDRICH, August",Men,individual road race,Silver
Athens,1896,Cycling,Cycling Track,"FLAMENG, Léon",Men,100km,Gold
Athens,1896,Cycling,Cycling Track,"KOLETTIS, Georgios",Men,100km,Silver
Athens,1896,Cycling,Cycling Track,"SCHMAL, Adolf",Men,10km,Bronze
Athens,1896,Cycling,Cycling Track,"MASSON, Paul",Men,10km,Gold
Athens,1896,Cycling,Cycling Track,"FLAMENG, Léon",Men,10km,Silver
Athens,1896,Cycling,Cycling Track,"SCHMAL, Adolf",Men,12-hour race,Gold
Athens,1896,Cycling,Cycling Track,"KEEPING, Frank",Men,12-hour race,Silver
Athens,1896,Cycling,Cycling Track,"SCHMAL, Adolf",Men,1km time trial,Bronze
Athens,1896,Cycling,Cycling Track,"MASSON, Paul",Men,1km time trial,Gold
Athens,1896,Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",Men,1km time trial,Silver
Athens,1896,Cycling,Cycling Track,"FLAMENG, Léon",Men,Sprint indivual,Bronze
Athens,1896,Cycling,Cycling Track,"MASSON, Paul",Men,Sprint indivual,Gold
Athens,1896,Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",Men,Sprint indivual,Silver
Athens,1896,Fencing,Fencing,"PIERRAKOS-MAVROMICHALIS, Perikles",Men,foil individual,Bronze
Athens,1896,Fencing,Fencing,"GRAVELOTTE, Eugène-Henri",Men,foil individual,Gold
Athens,1896,Fencing,Fencing,"CALLOT, Henri",Men,foil individual,Silver
Athens,1896,Fencing,Fencing,"PYRGOS, Leonidas",Men,"foil, masters",Gold
Athens,1896,Fencing,Fencing,"PERRONNET, Maurice",Men,"foil, masters",Silver
Athens,1896,Fencing,Fencing,"NIELSEN, Holger",Men,sabre individual,Bronze
Athens,1896,Fencing,Fencing,"GEORGIADIS, Ioannis",Men,sabre individual,Gold
Athens,1896,Fencing,Fencing,"KARAKALOS, Telemachos",Men,sabre individual,Silver
Athens,1896,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",Men,horizontal bar,Gold
Athens,1896,Gymnastics,Artistic G.,"FLATOW, Alfred",Men,horizontal bar,Silver
Athens,1896,Gymnastics,Artistic G.,"FLATOW, Alfred",Men,parallel bars,Gold
Athens,1896,Gymnastics,Artistic G.,"ZUTTER, Louis",Men,parallel bars,Silver
Athens,1896,Gymnastics,Artistic G.,"ZUTTER, Louis",Men,pommel horse,Gold
